"employee_id","connection_count"
"t_1",500
"t_2",165
"t_3",335
"t_4",500
"t_5",224
"t_6",407
"t_7",431
"t_8",500
"t_9",500
"t_10",259
"t_11",500
"t_12",500
"t_13",500
"t_14",500
"t_15",500
"t_16",500
"t_17",500
"t_18",319
"t_19",195
"t_20",500
"t_21",500
"t_22",500
"t_23",154
"t_24",500
"t_25",500
"t_26",278
"t_27",500
"t_28",500
"t_29",500
"t_30",219
"t_31",500
"t_32",382
"t_33",347
"t_34",500
"t_35",177
"t_36",310
"t_37",500
"t_38",132
"t_39",341
"t_40",259
"t_41",500
"t_42",306
"t_43",157
"t_44",379
"t_45",500
"t_46",500
"t_47",500
"t_48",500
"t_49",115
"t_50",500
"t_51",482
"t_52",500
"t_53",425
"t_54",500
"t_55",198
"t_56",480
"t_57",500
"t_58",294
"t_59",185
"t_60",500
"t_61",208
"t_62",188
"t_63",500
"t_64",459
"t_65",500
"t_66",103
"t_67",489
"t_68",84
"t_69",500
"t_70",328
"t_71",454
"t_72",283
"t_73",500
"t_74",500
"t_75",427
"t_76",500
"t_77",494
"t_78",339
"t_79",500
"t_80",500
"t_81",459
"t_82",500
"t_83",438
"t_84",161
"t_85",217
"t_86",205
"t_87",500
"t_88",206
"t_89",396
"t_90",500
"t_91",356
"t_92",240
"t_93",500
"t_94",500
"t_95",296
"t_96",226
"t_97",500
"t_98",479
"t_99",500
"t_100",319
"t_101",500
"t_102",474
"t_103",161
"t_104",274
"t_105",500
"t_106",500
"t_107",221
"t_108",500
"t_109",500
"t_110",500
"t_111",500
"t_112",32
"t_113",367
"t_114",208
"t_115",439
"t_116",211
"t_117",500
"t_118",500
"t_119",296
"t_120",318
"t_121",500
"t_122",500
"t_123",500
"t_124",168
"t_125",500
"t_126",245
"t_127",500
"t_128",500
"t_129",500
"t_130",500
"t_131",395
"t_132",351
"t_133",488
"t_134",500
"t_135",371
"t_136",NA
"t_137",500
"t_138",500
"t_139",222
"t_140",189
"t_141",269
"t_142",239
"t_143",500
"t_144",424
"t_145",247
"t_146",500
"t_147",500
"t_148",283
"t_149",202
"t_150",417
"t_151",179
"t_152",500
"t_153",428
"t_154",500
"t_155",500
"t_156",500
"t_157",500
"t_158",147
"t_159",500
"t_160",486
"t_161",289
"t_162",500
"t_163",500
"t_164",500
"t_165",500
"t_166",500
"t_167",500
"t_168",500
"t_169",500
"t_170",394
"t_171",500
"t_172",97
"t_173",296
"t_174",500
"t_175",500
"t_176",374
"t_177",500
"t_178",500
"t_179",500
"t_180",500
"t_181",500
"t_182",40
"t_183",132
"t_184",415
"t_185",500
"t_186",264
